lpx,step,elbo,lqz,loss,lpz,epoch,kl
-707.1558227539062,22199,-720.4030151367188,-57.77494812011719,720.4030151367188,-71.02215576171875,184,13.24720287322998
-707.0020141601562,22299,-720.3414916992188,-57.67946243286133,720.3414916992188,-71.01895141601562,185,13.339484214782715
-707.0004272460938,22399,-720.4488525390625,-57.57151412963867,720.4488525390625,-71.01992797851562,186,13.448413848876953
-706.4721069335938,22499,-720.0327758789062,-57.46333694458008,720.0327758789062,-71.02400970458984,187,13.560675621032715
-706.5139770507812,22599,-720.1636352539062,-57.376380920410156,720.1636352539062,-71.02603912353516,188,13.649653434753418
-706.4439086914062,22699,-720.1920166015625,-57.280982971191406,720.1920166015625,-71.02906799316406,189,13.748085021972656
-705.9827880859375,22799,-719.8192138671875,-57.18585205078125,719.8192138671875,-71.02227783203125,189,13.836424827575684
-706.013427734375,22899,-719.94775390625,-57.09002685546875,719.94775390625,-71.02433013916016,190,13.934306144714355
-705.9230346679688,22999,-719.9415893554688,-57.01111602783203,719.9415893554688,-71.02967834472656,191,14.01855754852295
-705.2511596679688,23099,-719.3563232421875,-56.918121337890625,719.3563232421875,-71.0232925415039,192,14.105173110961914
-705.342529296875,23199,-719.5433349609375,-56.82872772216797,719.5433349609375,-71.02949523925781,193,14.200766563415527
-705.2913208007812,23299,-719.5810546875,-56.72968292236328,719.5810546875,-71.0193862915039,194,14.289705276489258
-705.024169921875,23399,-719.4008178710938,-56.6424560546875,719.4008178710938,-71.01911163330078,194,14.376654624938965
-704.657470703125,23499,-719.1259155273438,-56.5517578125,719.1259155273438,-71.0202407836914,195,14.468484878540039
-704.7801513671875,23599,-719.3493041992188,-56.45604705810547,719.3493041992188,-71.02523040771484,196,14.569184303283691
-704.4520874023438,23699,-719.1159057617188,-56.35948181152344,719.1159057617188,-71.0233154296875,197,14.663833618164062
-704.4483642578125,23799,-719.2068481445312,-56.26830291748047,719.2068481445312,-71.02676391601562,198,14.758461952209473
-704.0366821289062,23899,-718.8851928710938,-56.173709869384766,718.8851928710938,-71.02223205566406,199,14.848525047302246
-703.99365234375,23999,-718.9347534179688,-56.08497619628906,718.9347534179688,-71.02607727050781,199,14.9411039352417
-703.7503662109375,24099,-718.7827758789062,-55.99257278442383,718.7827758789062,-71.02497863769531,200,15.0324068069458
-703.2345581054688,24199,-718.3654174804688,-55.89442443847656,718.3654174804688,-71.02529907226562,201,15.130875587463379
-703.2940673828125,24299,-718.5234985351562,-55.79899597167969,718.5234985351562,-71.0284194946289,202,15.22942066192627
